i,centro_x,centro_y,radio,color_r,color_g,color_b
426,90.5,18.5,2.26,98.0,98.0,98.0
427,94.5,18.5,2.26,91.0,91.0,91.0
428,98.61,18.61,2.39,79.0,79.0,79.0
429,102.7,18.5,1.78,113.0,113.0,113.0
430,106.29,18.71,2.33,189.0,189.0,189.0
431,114.5,18.5,2.26,218.0,218.0,218.0
432,118.5,18.5,2.26,227.0,227.0,227.0
433,122.5,18.5,2.26,231.0,231.0,231.0
434,126.5,18.5,2.26,231.0,231.0,231.0
435,130.5,18.5,2.26,230.0,230.0,230.0
436,134.5,18.5,2.26,233.0,233.0,233.0
437,138.5,18.5,2.26,231.0,231.0,231.0
438,142.5,18.5,2.26,225.0,225.0,225.0
439,146.5,18.5,2.26,222.0,222.0,222.0
440,150.5,18.5,2.26,224.0,224.0,224.0
441,154.5,18.5,2.26,231.0,231.0,231.0
442,158.5,18.5,2.26,234.0,234.0,234.0
443,162.5,18.5,2.26,233.0,233.0,233.0
444,166.5,18.5,2.26,235.0,235.0,235.0
445,170.5,18.5,2.26,236.0,236.0,236.0
446,174.5,18.5,2.26,236.0,236.0,236.0
447,178.5,18.5,2.26,234.0,234.0,234.0
448,182.5,18.5,2.26,236.0,236.0,236.0
449,186.5,18.5,2.26,236.0,236.0,236.0
450,190.5,18.5,2.26,235.0,235.0,235.0
451,194.5,18.5,2.26,230.0,230.0,230.0
452,198.5,18.5,2.26,225.0,225.0,225.0
453,202.5,18.5,2.26,213.0,213.0,213.0
454,206.5,18.5,2.26,202.0,202.0,202.0
455,210.5,18.5,2.26,213.0,213.0,213.0
456,214.5,18.5,2.26,209.0,209.0,209.0
457,218.5,18.5,2.26,206.0,206.0,206.0
458,222.5,18.5,2.26,219.0,219.0,219.0
459,226.5,18.5,2.26,210.0,210.0,210.0
460,230.5,18.5,2.26,211.0,211.0,211.0
461,234.5,18.5,2.26,222.0,222.0,222.0
462,238.5,18.5,2.26,224.0,224.0,224.0
463,242.56,18.62,2.26,206.0,206.0,206.0
464,246.5,18.5,1.95,168.0,168.0,168.0
465,250.44,18.38,2.26,117.0,117.0,117.0
466,254.61,18.78,2.39,108.0,108.0,108.0
467,258.5,18.5,2.26,103.0,103.0,103.0
468,262.5,18.5,2.26,107.0,107.0,107.0
469,266.5,18.5,2.26,106.0,106.0,106.0
470,270.5,18.5,2.26,107.0,107.0,107.0
471,274.5,18.5,2.26,108.0,108.0,108.0
472,278.5,18.5,2.26,106.0,106.0,106.0
473,282.5,18.5,2.26,106.0,106.0,106.0
474,286.5,18.5,2.26,112.0,112.0,112.0
475,290.5,18.5,2.26,116.0,116.0,116.0
476,294.5,18.5,2.26,112.0,112.0,112.0
477,298.5,18.5,2.26,113.0,113.0,113.0
478,302.5,18.5,2.26,116.0,116.0,116.0
479,306.5,18.5,2.26,114.0,114.0,114.0
480,310.5,18.5,2.26,116.0,116.0,116.0
481,314.5,18.5,2.26,115.0,115.0,115.0
482,318.5,18.5,2.26,115.0,115.0,115.0
483,322.5,18.5,2.26,120.0,120.0,120.0
484,326.5,18.5,2.26,115.0,115.0,115.0
485,330.5,18.5,2.26,116.0,116.0,116.0
486,334.5,18.5,2.26,116.0,116.0,116.0
487,338.5,18.5,2.26,121.0,121.0,121.0
488,342.5,18.5,2.26,120.0,120.0,120.0
489,346.5,18.5,2.26,114.0,114.0,114.0
490,350.5,18.5,2.26,116.0,116.0,116.0
491,354.5,18.5,2.26,118.0,118.0,118.0
492,358.5,18.5,2.26,115.0,115.0,115.0
493,362.5,18.5,2.26,118.0,118.0,118.0
494,366.5,18.5,2.26,122.0,122.0,122.0
495,370.5,18.5,2.26,116.0,116.0,116.0
496,374.5,18.5,2.26,117.0,117.0,117.0
497,378.5,18.5,2.26,124.0,124.0,124.0
498,382.5,18.5,2.26,125.0,125.0,125.0
499,386.5,18.5,2.26,121.0,121.0,121.0
500,390.5,18.5,2.26,121.0,121.0,121.0
501,394.5,18.5,2.26,119.0,119.0,119.0
502,398.5,18.5,2.26,119.0,119.0,119.0
503,402.0,18.5,1.95,117.0,117.0,117.0
504,102.47,22.47,2.33,204.0,204.0,204.0
505,246.39,22.22,2.39,229.0,229.0,229.0
506,2.0,22.5,2.52,102.0,102.0,102.0
507,6.5,22.5,2.26,100.0,100.0,100.0
508,10.5,22.5,2.26,107.0,107.0,107.0
509,14.5,22.5,2.26,107.0,107.0,107.0
510,18.5,22.5,2.26,107.0,107.0,107.0
511,22.5,22.5,2.26,104.0,104.0,104.0
512,26.5,22.5,2.26,104.0,104.0,104.0
513,30.5,22.5,2.26,100.0,100.0,100.0
514,34.5,22.5,2.26,105.0,105.0,105.0
515,38.5,22.5,2.26,106.0,106.0,106.0
516,42.5,22.5,2.26,102.0,102.0,102.0
517,46.5,22.5,2.26,100.0,100.0,100.0
518,50.5,22.5,2.26,103.0,103.0,103.0
519,54.5,22.5,2.26,104.0,104.0,104.0
520,58.5,22.5,2.26,104.0,104.0,104.0
521,62.5,22.5,2.26,98.0,98.0,98.0
522,66.5,22.5,2.26,101.0,101.0,101.0
523,70.5,22.5,2.26,111.0,111.0,111.0
524,74.5,22.5,2.26,104.0,104.0,104.0
525,78.5,22.5,2.26,103.0,103.0,103.0
526,82.5,22.5,2.26,97.0,97.0,97.0
527,86.5,22.5,2.26,92.0,92.0,92.0
528,90.5,23.0,2.52,83.0,83.0,83.0
529,94.61,22.44,2.39,79.0,79.0,79.0
530,98.5,22.5,1.95,147.0,147.0,147.0
531,106.5,22.5,2.26,214.0,214.0,214.0
532,110.5,22.5,2.26,227.0,227.0,227.0
