i,centro_x,centro_y,radio,color_r,color_g,color_b
479,63.5,33.5,3.39,255.0,255.0,255.0
480,69.5,33.5,3.39,255.0,255.0,255.0
481,75.5,33.5,3.39,255.0,255.0,255.0
482,81.5,33.5,3.39,255.0,255.0,255.0
483,87.5,33.5,3.39,255.0,255.0,255.0
484,93.5,33.5,3.39,255.0,255.0,255.0
485,99.5,33.5,3.39,255.0,255.0,255.0
486,105.5,33.5,3.39,255.0,255.0,255.0
487,111.5,33.5,3.39,255.0,255.0,255.0
488,117.5,33.5,3.39,255.0,255.0,255.0
489,123.5,33.5,3.39,255.0,255.0,255.0
490,129.5,33.5,3.39,255.0,255.0,255.0
491,135.5,33.5,3.39,255.0,255.0,255.0
492,141.5,33.5,3.39,255.0,255.0,255.0
493,147.5,33.5,3.39,255.0,255.0,255.0
494,153.5,33.5,3.39,255.0,255.0,255.0
495,159.5,33.5,3.39,255.0,255.0,255.0
496,165.5,33.5,3.39,255.0,255.0,255.0
497,171.5,33.5,3.39,255.0,255.0,255.0
498,177.5,33.5,3.39,255.0,255.0,255.0
499,183.5,33.5,3.39,255.0,255.0,255.0
500,189.5,33.5,3.39,254.0,254.0,255.0
501,195.5,33.5,3.39,253.0,254.0,254.0
502,201.5,33.5,3.39,252.0,254.0,253.0
503,207.59,33.46,3.43,253.0,253.0,254.0
504,237.5,33.5,3.39,197.0,47.0,42.0
505,243.5,33.5,3.39,198.0,48.0,43.0
506,249.5,33.5,3.39,198.0,46.0,44.0
507,255.36,33.27,3.24,196.0,48.0,42.0
508,261.82,34.05,3.74,193.0,51.0,42.0
509,282.5,33.72,3.83,204.0,79.0,79.0
510,291.29,33.39,3.48,197.0,35.0,35.0
511,297.35,35.6,4.44,191.0,50.0,43.0
512,303.5,33.5,3.39,196.0,35.0,31.0
513,315.5,33.5,3.39,198.0,33.0,36.0
514,337.93,33.84,4.3,236.0,213.0,210.0
515,345.5,33.5,3.39,251.0,253.0,254.0
516,351.5,33.5,3.39,254.0,254.0,254.0
517,357.5,33.5,3.39,254.0,255.0,255.0
518,363.5,33.5,3.39,254.0,254.0,255.0
519,369.5,33.5,3.39,255.0,254.0,255.0
520,375.5,33.5,3.39,255.0,255.0,255.0
521,381.5,33.5,3.39,255.0,255.0,255.0
522,387.5,33.5,3.39,255.0,255.0,255.0
523,393.5,33.5,3.39,255.0,255.0,255.0
524,399.5,33.5,3.39,255.0,255.0,255.0
525,405.5,33.5,3.39,255.0,255.0,255.0
526,411.5,33.5,3.39,255.0,255.0,255.0
527,417.5,33.5,3.39,255.0,255.0,255.0
528,423.5,33.5,3.39,255.0,255.0,255.0
529,429.5,33.5,3.39,255.0,255.0,255.0
530,435.5,33.5,3.39,255.0,255.0,255.0
531,441.5,33.5,3.39,255.0,255.0,255.0
532,447.5,33.5,3.39,255.0,255.0,255.0
